Source,Target,Weight,TipoRelacion
215,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
216,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
217,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
218,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
219,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
220,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
221,INMOBILIARIA CONDOMINIOS DE CHICLAYO S.A.C.,43312.5,Familia-Entidad
222,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
223,CONSTRUCTORA LOS CASTAÐOS DE FERREÐAFE S.A.C.,40250.0,Familia-Entidad
224,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
225,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
226,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
227,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
228,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
229,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
230,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
231,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
232,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
233,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
234,CONSTRUCTORA LOS CASTAÐOS DE FERREÐAFE S.A.C.,40250.0,Familia-Entidad
235,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
236,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
237,CONSTRUCTORA LOS CASTAÐOS DE FERREÐAFE S.A.C.,40250.0,Familia-Entidad
238,INMOBILIARIA EL BRAMADERO S.A.C.,40250.0,Familia-Entidad
239,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
240,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
241,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
242,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
243,BECTEK CONTRATISTAS S.A.C.,38500.0,Familia-Entidad
244,PROYECTO NUEVA ESPAÐA SOCIEDAD  ANONIMA CERRADA,40250.0,Familia-Entidad
245,PROYECTO NUEVA ESPAÐA SOCIEDAD  ANONIMA CERRADA,40250.0,Familia-Entidad
246,PROYECTO NUEVA ESPAÐA SOCIEDAD  ANONIMA CERRADA,40250.0,Familia-Entidad
247,PROYECTO NUEVA ESPAÐA SOCIEDAD  ANONIMA CERRADA,40250.0,Familia-Entidad
248,CONSTRUCTORA LOS CASTAÐOS DE FERREÐAFE S.A.C.,40250.0,Familia-Entidad
249,PROYECTO NUEVA ESPAÐA SOCIEDAD  ANONIMA CERRADA,40250.0,Familia-Entidad
250,PROYECTO NUEVA ESPAÐA SOCIEDAD  ANONIMA CERRADA,40250.0,Familia-Entidad
251,GRUPO  INMOBILIARIO  KINSA  S.A.C.,40250.0,Familia-Entidad
252,INMOBILIARIA EL BRAMADERO S.A.C.,40250.0,Familia-Entidad
253,GRUPO  INMOBILIARIO  KINSA  S.A.C.,40250.0,Familia-Entidad
254,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
255,GRUPO  INMOBILIARIO  KINSA  S.A.C.,40250.0,Familia-Entidad
256,INMOBILIARIA EL BRAMADERO S.A.C.,40250.0,Familia-Entidad
257,INMOBILIARIA EL BRAMADERO S.A.C.,40250.0,Familia-Entidad
258,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
259,CONSTRUCTORA LOS CASTAÐOS DE FERREÐAFE S.A.C.,40250.0,Familia-Entidad
260,CONSTRUCTORA LOS CASTAÐOS DE FERREÐAFE S.A.C.,40250.0,Familia-Entidad
261,PROYECTO NUEVA ESPAÐA SOCIEDAD  ANONIMA CERRADA,40250.0,Familia-Entidad
262,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
263,GRUPO  INMOBILIARIO  KINSA  S.A.C.,40250.0,Familia-Entidad
264,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
265,GRUPO  INMOBILIARIO  KINSA  S.A.C.,40250.0,Familia-Entidad
266,GRUPO  INMOBILIARIO  KINSA  S.A.C.,40250.0,Familia-Entidad
267,CONSTRUCTORA LOS CASTAÐOS DE FERREÐAFE S.A.C.,40250.0,Familia-Entidad
268,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,38500.0,Familia-Entidad
269,INVERSIONES ANGEL DE LUZ S.A.C.,43312.5,Familia-Entidad
270,CONSTRUCTORA LOS CASTAÐOS DE FERREÐAFE S.A.C.,40250.0,Familia-Entidad
271,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
272,CONSTRUCTORA E INMOBILIARIA VILLA PRIMAVERA S.A.C.,40250.0,Familia-Entidad
273,CONSTRUCTORA LOS CASTAÐOS DE FERREÐAFE S.A.C.,40250.0,Familia-Entidad
274,MEGA INDUSTRIES S.A.C.,38500.0,Familia-Entidad
275,INMOBILIARIA EL BRAMADERO S.A.C.,40250.0,Familia-Entidad
276,CONSTRUCTORA E INMOBILIARIA J & A S.A.C.,40250.0,Familia-Entidad
277,INMOBILIARIA EL BRAMADERO S.A.C.,40250.0,Familia-Entidad
278,LA PONCIANA INVESTMENTS SOCIEDAD ANONIMA CERRADA,40250.0,Familia-Entidad
279,DMRF INVERSIONES Y CONTRATISTAS SAC,27600.0,Familia-Entidad
280,BERCON PERU S.A.C.,27600.0,Familia-Entidad
281,MIORU IMPORT  TRADES E.I.R.L.,27600.0,Familia-Entidad
282,N & F CONSTRUCTORA ELOHIM S.A.C.,27600.0,Familia-Entidad
283,DMRF INVERSIONES Y CONTRATISTAS SAC,27600.0,Familia-Entidad
284,CIA CONSTRUCTORA Y SERVICIOS GENERALES MADACAZA S.A.C.,27600.0,Familia-Entidad
285,CIA CONSTRUCTORA Y SERVICIOS GENERALES MADACAZA S.A.C.,27600.0,Familia-Entidad
286,CONSTRUCTORA Y CONSULTORA NAVI PERU S.A.C.,27600.0,Familia-Entidad
287,MIORU IMPORT  TRADES E.I.R.L.,27600.0,Familia-Entidad
288,BERPAL CONSTRUCCIONES S.A.C.,27600.0,Familia-Entidad
289,CORPORACION FEBI SOCIEDAD ANONIMA CERRADA,27600.0,Familia-Entidad
290,AURELIOS CONSTRUCTORES DEL NORTE E.I.R.L.,27600.0,Familia-Entidad
291,CORPORACION FEBI SOCIEDAD ANONIMA CERRADA,27600.0,Familia-Entidad
292,CONSTRUCTORA Y CONSULTORA NAVI PERU S.A.C.,27600.0,Familia-Entidad
293,BERPAL CONSTRUCCIONES S.A.C.,27600.0,Familia-Entidad
294,BERPAL CONSTRUCCIONES S.A.C.,27600.0,Familia-Entidad
295,CORPORACION FEBI SOCIEDAD ANONIMA CERRADA,27600.0,Familia-Entidad
296,CIA CONSTRUCTORA Y SERVICIOS GENERALES MADACAZA S.A.C.,27600.0,Familia-Entidad
297,BERPAL CONSTRUCCIONES S.A.C.,27600.0,Familia-Entidad
298,BERCON PERU S.A.C.,27600.0,Familia-Entidad
299,AVA INCREMENTA SRL,27600.0,Familia-Entidad
300,BERCON PERU S.A.C.,37855.7,Familia-Entidad
301,N & F CONSTRUCTORA ELOHIM S.A.C.,27600.0,Familia-Entidad
302,N & F CONSTRUCTORA ELOHIM S.A.C.,27600.0,Familia-Entidad
